"","SYMBOL","ENSEMBL","AD_related"
"157","ARSB","ENSG00000113273",TRUE
"158","ARSJ","ENSG00000180801",TRUE
"159","ATF7","ENSG00000170653",TRUE
"160","ATP7B","ENSG00000123191",TRUE
"161","ATXN1","ENSG00000124788",TRUE
"162","BCHE","ENSG00000114200",TRUE
"163","BCR","ENSG00000186716",TRUE
"164","BDNF","ENSG00000176697",TRUE
"165","BLMH","ENSG00000108578",TRUE
"166","C4A","ENSG00000244731",TRUE
"167","C4A","ENSG00000227746",TRUE
"168","C4A","ENSG00000244207",TRUE
"169","C4A","ENSG00000206340",TRUE
"170","C4B","ENSG00000224389",TRUE
"171","C4B","ENSG00000224639",TRUE
"172","C4B","ENSG00000228454",TRUE
"173","C4B","ENSG00000236625",TRUE
"174","C4B","ENSG00000228267",TRUE
"176","CADPS2","ENSG00000081803",TRUE
"177","CALHM1","ENSG00000185933",TRUE
"178","CAMK2D","ENSG00000145349",TRUE
"179","CAND1","ENSG00000111530",TRUE
"180","CARD8","ENSG00000105483",TRUE
"181","CASR","ENSG00000036828",TRUE
"182","CAV1","ENSG00000105974",TRUE
"183","CBS","ENSG00000160200",TRUE
"184","CCL2","ENSG00000108691",TRUE
"185","CCL3","ENSG00000277632",TRUE
"186","CCL3","ENSG00000278567",TRUE
"187","CCL3","ENSG00000274221",TRUE
"188","CCNT1","ENSG00000129315",TRUE
"189","CCR2","ENSG00000121807",TRUE
"190","CD14","ENSG00000170458",TRUE
"191","CD36","ENSG00000135218",TRUE
"192","CD44","ENSG00000026508",TRUE
"193","CDH11","ENSG00000140937",TRUE
"194","CDK1","ENSG00000170312",TRUE
"195","CDKN2A","ENSG00000147889",TRUE
"196","CELF2","ENSG00000048740",TRUE
"197","CETP","ENSG00000087237",TRUE
"198","CFH","ENSG00000000971",TRUE
"199","CH25H","ENSG00000138135",TRUE
"200","CHAT","ENSG00000070748",TRUE
"201","CHRFAM7A","ENSG00000166664",TRUE
"202","CHRFAM7A","ENSG00000275917",TRUE
"203","CHRNA3","ENSG00000080644",TRUE
"204","CHRNA4","ENSG00000101204",TRUE
"205","CHRNB2","ENSG00000160716",TRUE
"206","CLOCK","ENSG00000134852",TRUE
"207","CLSTN2","ENSG00000158258",TRUE
"208","CLUAP1","ENSG00000103351",TRUE
"209","COL11A1","ENSG00000060718",TRUE
"210","COL25A1","ENSG00000188517",TRUE
"211","COMT","ENSG00000093010",TRUE
"212","COX10","ENSG00000006695",TRUE
"213","COX15","ENSG00000014919",TRUE
"214","CST3","ENSG00000101439",TRUE
"215","CTNNA3","ENSG00000183230",TRUE
"216","CTSD","ENSG00000117984",TRUE
"217","CTSS","ENSG00000163131",TRUE
"218","CXCL8","ENSG00000169429",TRUE
"219","CYP11B1","ENSG00000160882",TRUE
"220","CYP19A1","ENSG00000137869",TRUE
"221","CYP2D6","ENSG00000100197",TRUE
"222","CYP2D6","ENSG00000275211",TRUE
"223","CYP2D6","ENSG00000272532",TRUE
"224","CYP2D6","ENSG00000280905",TRUE
"225","CYP2D6","ENSG00000282966",TRUE
"226","CYP2D6","ENSG00000283284",TRUE
"227","CYP46A1","ENSG00000036530",TRUE
"228","DAOA","ENSG00000182346",TRUE
"229","DAPK1","ENSG00000196730",TRUE
"230","DBH","ENSG00000123454",TRUE
"231","DCHS2","ENSG00000197410",TRUE
"232","DCHS2","ENSG00000284227",TRUE
"233","DDX18","ENSG00000088205",TRUE
"234","DDX39B","ENSG00000198563",TRUE
"235","DDX39B","ENSG00000225859",TRUE
"236","DDX39B","ENSG00000235439",TRUE
"237","DDX39B","ENSG00000225073",TRUE
"238","DDX39B","ENSG00000237889",TRUE
"239","DDX39B","ENSG00000230624",TRUE
"240","DDX39B","ENSG00000215425",TRUE
"241","DDX39B","ENSG00000229496",TRUE
"242","DGKB","ENSG00000136267",TRUE
"243","DLD","ENSG00000091140",TRUE
"244","DLST","ENSG00000119689",TRUE
"245","DNM2","ENSG00000079805",TRUE
"246","DNMBP","ENSG00000107554",TRUE
"247","DNMT3B","ENSG00000088305",TRUE
"249","DPH6","ENSG00000134146",TRUE
"250","DPYS","ENSG00000147647",TRUE
"251","DRD4","ENSG00000069696",TRUE
"252","DRD4","ENSG00000276825",TRUE
"253","EBF3","ENSG00000108001",TRUE
"254","ECE1","ENSG00000117298",TRUE
"255","EFNA5","ENSG00000184349",TRUE
"256","EIF4EBP1","ENSG00000187840",TRUE
"257","EPC2","ENSG00000135999",TRUE
"258","ESR1","ENSG00000091831",TRUE
"259","ESR2","ENSG00000140009",TRUE
"260","EXOC2","ENSG00000112685",TRUE
"261","EXOC3L2","ENSG00000283632",TRUE
"262","F13A1","ENSG00000124491",TRUE
"263","FCER1G","ENSG00000158869",TRUE
"264","FDPS","ENSG00000160752",TRUE
"265","FRMD4A","ENSG00000151474",TRUE
"266","FRMD6","ENSG00000139926",TRUE
"267","FSHR","ENSG00000170820",TRUE
"268","FTO","ENSG00000140718",TRUE
"269","GAB2","ENSG00000033327",TRUE
"270","GALP","ENSG00000197487",TRUE
"271","GAPDHS","ENSG00000105679",TRUE
"272","GBP2","ENSG00000162645",TRUE
"273","GNA11","ENSG00000088256",TRUE
"274","GNB3","ENSG00000111664",TRUE
"275","GOLM1","ENSG00000135052",TRUE
"276","GPX1","ENSG00000233276",TRUE
"277","GREM2","ENSG00000180875",TRUE
"278","GRIN3A","ENSG00000198785",TRUE
"279","GSTM1","ENSG00000134184",TRUE
"280","GSTM3","ENSG00000134202",TRUE
"281","GSTO1","ENSG00000148834",TRUE
"282","GSTO2","ENSG00000065621",TRUE
"283","GSTP1","ENSG00000084207",TRUE
